,date_int,tournament,geodesic,geodesic_home,pop_home,pop_away,home_score,away_score
11887,77445,24,11027.318174425092,11199.15434201349,100038543.0,23900626.0,1,1
13202,78004,24,2406.6937791005585,297.4739852858802,7717590.5,1488190.5,0,1
11537,77354,24,2674.247372011099,210.58592992729066,5874123.5,349788.5,2,0
7197,75625,49,18875.460772947565,17262.264981626755,3667972.5,656077.0,1,0
9121,76353,24,18383.624829647644,19482.414965062235,16374337.0,3669364.5,1,0
1684,73306,16,9859.911749000394,10763.900102748286,1968091.0,5874123.5,2,0
12472,77654,23,17960.431758652077,18383.624829647644,3669364.5,19062.0,2,0
13257,78009,7,1389.529515703923,180.88573363540917,3422098.5,7338218.5,2,2
2079,73500,6,4882.31818501048,825.5035419467606,3737082.0,3611597.5,1,0
11169,77186,24,1868.9156136760453,230.71354505498533,27000921.0,16988693.5,1,2
14069,78358,55,12509.839281710365,623.9859393799161,1764.0,30538.5,0,2
4149,74376,23,1408.2165136014228,10.387820312358693,1216465.5,5381876.5,1,1
8189,75954,24,4976.799930284286,45.839967945312836,18504015.5,5202198.0,2,1
14499,78503,23,14980.278039260267,9678.885128930438,4236614.5,6845750.5,1,0
5838,75108,22,623.9859393799161,15638.598987762174,5202198.0,1764.0,2,1
3378,74096,2,15555.650668700191,16114.723805194177,1488700.0,1090655.0,2,1
16516,79299,24,1815.509869039955,1046.748702102437,239245.0,38994.5,4,0
1919,73418,9,623.9859393799161,16326.160761306232,2516229.0,1764.0,2,0
10822,77043,7,3890.305229138833,226.630766455476,6020799.5,620093.5,2,1
2017,73480,24,1236.4696759887424,354.9723733150659,5381876.5,2591961.5,0,1
15364,78835,23,18722.569652693437,121.69216822783098,961181.5,1764.0,0,1
9691,76661,8,623.9859393799161,623.9859393799161,1764.0,1764.0,2,2
5281,74844,24,11779.793213697296,10536.192679258942,2591961.5,1527933.5,1,2
6790,75493,1,5545.350193470919,580.04408398036,19777668.0,1090655.0,1,1
14224,78387,49,18875.460772947565,19135.65876141443,961181.5,656077.0,2,1
3444,74123,24,2498.1342263160277,164.11244730898912,3879103.5,1606363.5,5,3
293,72841,23,15120.473488074871,29.935813556511,843050.0,1764.0,1,1
8877,76279,23,1966.6844947239424,2539.159908328789,74380224.5,20811.5,3,0
15411,78860,24,3521.0613852255865,0.0,1090655.0,2007297.0,3,0
2876,73913,24,569.1280270509791,81.2279192595655,5895685.0,3329034.0,2,2
12625,77718,24,18871.80351523405,18951.55568688795,10328576.5,1862032.5,3,2
6057,75195,14,1716.9772379153737,180.88573363540917,3422098.5,6011601.0,1,2
13957,78306,24,16326.160761306232,14840.743350060944,918116.0,2516229.0,4,3
16302,79233,23,18519.900654851728,15523.216572152149,5904854.0,10468969.0,2,0
12209,77553,4,7888.1758114714,623.9859393799161,1764.0,61755.5,5,0
373,72857,23,16203.796590732882,15286.537011891758,1126598.0,1611846.0,0,0
8456,76073,24,3657.5466159382386,362.81406750275835,3879103.5,2150468.5,1,0
4815,74622,50,580.2222149248139,46.02228900571666,2591961.5,1963927.5,4,0
12237,77572,24,1918.0800031344208,209.47454538961202,6141603.5,1676892.0,5,0
1232,73188,23,15446.692912682705,1768.959154227503,895608.5,1764.0,1,0
2660,73798,24,1054.2401516601183,121.69216822783098,961181.5,17031145.5,1,1
14936,78673,7,13575.460814999075,623.9859393799161,1764.0,6011601.0,2,1
10855,77045,23,15246.580574330743,623.9859393799161,1764.0,3455586.5,2,1
6010,75184,49,3288.0714802424154,25.758518228037648,1411273.0,3569803.0,0,1
11638,77377,23,4274.394440025027,102.22782507513782,73020.0,1764.0,2,0
2006,73473,24,3991.6507093286687,239.07818296123517,1488190.5,656077.0,2,0
13613,78142,49,19839.051257705134,18383.624829647644,3669364.5,20811.5,2,0
9965,76730,12,12405.100697345564,623.9859393799161,1764.0,338021.5,0,1
13460,78106,24,8021.566415393177,10381.902461516767,55203918.5,8929071.5,0,0
10663,77007,45,3505.1320766045574,3281.1730902768327,89742.5,12038.0,8,0
13157,77995,7,623.9859393799161,15425.156568457058,1236792.5,1764.0,0,0
11625,77377,23,19216.05469054054,0.0,20811.5,1764.0,1,8
5228,74816,23,10536.192679258942,12405.100697345564,338021.5,2591961.5,3,2
5484,74928,29,18390.37961061927,10911.464454828312,12304091.0,1063223.5,1,1
972,73063,23,19358.57304505898,17594.48351885597,446770.0,38127.0,5,0
2615,73770,24,3100.4020250954927,308.09475477541775,5895685.0,18504015.5,1,1
10546,76983,24,597.6238665087648,513.7235024372155,1767571.5,1496645.0,3,3
6125,75216,7,5208.354556595761,58.45956471759318,620093.5,1397363.0,3,1
6449,75383,24,6536.099572111338,1358.8150167941942,293130137.0,14863850.0,0,2
13632,78144,24,18970.249308134116,803.1786889418784,293130137.0,2372271.5,2,1
8266,75989,24,1392.8562862210779,164.4769345320128,7552473.5,1678185.0,2,1
4000,74354,24,19550.620055157615,18291.962996664857,3879103.5,102172.0,3,0
2216,73581,24,17262.264981626755,18871.80351523405,1862032.5,3667972.5,3,1
3190,74021,45,1067.2109345911829,76.362440236117,239245.0,4749.0,4,0
5442,74906,11,14667.378316782393,713.5170660493021,7338218.5,1764.0,1,1
2937,73927,7,4061.984356462522,206.3154948552044,1787602.5,31019153.0,0,1
10233,76849,24,18625.768774074237,17594.48351885597,446770.0,2866890.5,0,1
1837,73359,23,6012.9282246392595,0.0,1090655.0,293130137.0,1,1
16467,79271,24,1705.6837132828034,121.69216822783098,961181.5,2045057.0,1,0
5525,74960,24,18032.06910837277,10381.902461516767,55203918.5,2045057.0,2,1
5011,74725,23,15563.370694255695,18212.87090773455,17031145.5,7161013.5,2,0
7075,75590,24,18372.16285602333,17262.264981626755,3667972.5,4516372.5,2,1
10143,76801,24,2135.6459095442656,289.73762597537865,14689717.0,1216465.5,2,2
15969,79114,7,1136.5180994229115,58.45956471759318,620093.5,669429.0,3,0
4874,74655,23,3186.8129796099156,46.02228900571666,2591961.5,338021.5,5,1
8041,75919,23,2339.8245663644207,0.0,141161.5,1551240.0,0,0
1638,73289,23,4946.917152600969,451.50740175715174,4156070.5,6011601.0,1,1
4086,74365,23,3298.906347894258,753.5582188639654,43823828.5,1475517.5,1,0
14416,78471,49,1740.922600037464,402.9003846536191,2045057.0,1474150.0,2,0
2704,73818,24,17239.92598261763,8021.566415393177,8929071.5,895608.5,3,1
13080,77921,24,147.6968938631406,58.45956471759318,620093.5,1562517.5,1,1
8992,76318,23,18751.829437765668,623.9859393799161,1764.0,17027226.0,2,5
7125,75615,24,623.9859393799161,623.9859393799161,1764.0,1764.0,0,1
3861,74295,24,17833.306564260143,18781.07539388178,187608.0,2150468.5,1,2
8490,76113,24,16092.87044415466,16114.723805194177,1488700.0,30444730.5,0,1
5507,74955,6,1404.5925686015246,143.9295636210798,24656196.0,4156070.5,3,0
12382,77645,24,153.58828902217837,42.46992262212276,421599.0,18504015.5,0,2
11506,77309,48,19482.414965062235,18751.829437765668,17027226.0,16374337.0,4,0
10780,77041,49,18927.27449128039,18752.395159682448,16988693.5,1606363.5,3,0
11037,77097,0,1792.3773255693009,45.039312377086254,307088.5,50887.5,0,0
11433,77288,23,829.6104386894458,867.083559522712,4482436.0,3422098.5,0,0
3042,73975,24,831.6366785499961,42.46992262212276,421599.0,673275.0,1,2
16553,79348,24,1129.7504965340795,1489.8124630752072,3082588.0,1006387.0,0,0
5545,74967,24,6816.217676571221,55.82662420083923,12304091.0,2763952.0,0,0
14231,78388,16,9859.911749000394,10037.637867851354,6141603.5,5874123.5,2,3
9660,76646,49,1951.739902818439,38.46637648259383,656077.0,1411273.0,2,2
13293,78015,24,3622.385138166005,33.252983068682155,3668634.0,7161013.5,3,0
4030,74358,24,1148.1260772789237,93.17144668493937,2254390.0,2866890.5,3,1
14251,78389,24,2469.2674906178686,866.0701385571156,18504015.5,6011601.0,2,1
6915,75551,7,18111.51212183999,623.9859393799161,1764.0,4156070.5,1,1
140,72793,24,207.0776328998494,0.0,19953.5,29862.5,2,0
16593,79400,24,1585.9684131172535,217.02608810043702,27000921.0,17027226.0,1,1
7678,75825,23,12872.613915793552,623.9859393799161,1764.0,1787602.5,1,0
12177,77529,24,623.9859393799161,18781.07539388178,187608.0,1764.0,0,0
8321,76019,24,14930.643570997421,239.07818296123517,1488190.5,6141603.5,2,0
15469,78869,23,3833.8379007004746,0.0,141161.5,7161013.5,5,0
9323,76458,24,1234.8419001573163,243.105010203413,14689717.0,1334332.5,1,2
10793,77041,49,1027.4305773948095,164.4769345320128,7552473.5,4516372.5,2,2
4327,74449,24,526.6409006816233,335.7418181997719,16820282.0,1488700.0,1,1
15092,78741,2,2475.468339997936,122.7310730824303,1061042.0,174598311.5,0,1
8311,76011,12,1742.7256346666447,494.993986744138,5381876.5,30538.5,2,2
4944,74687,24,10536.192679258942,11199.15434201349,100038543.0,2591961.5,3,0
15957,79113,23,1603.003646447437,85.24365314314382,626174.0,3569803.0,0,2
1844,73367,23,15396.229559094207,11674.610235434773,293130137.0,7717590.5,2,0
9477,76568,22,11638.572254404577,8652.534708145138,3879103.5,1764.0,7,0
11932,77445,24,1260.2438243671268,102.47776541761911,3740160.5,3039297.5,1,2
7002,75572,14,12278.062891846754,11477.978278385104,18504015.5,673275.0,1,0
10353,76918,25,10536.192679258942,10763.900102748286,1968091.0,2591961.5,0,0
16138,79195,24,1476.2777457184404,239.07818296123517,1488190.5,6845750.5,2,0
11920,77445,24,10536.192679258942,9807.645181330314,2372271.5,2591961.5,3,1
5811,75100,22,1425.3382879422522,1867.8589348547487,17027226.0,17031145.5,4,0
502,72898,24,674.9439782349843,164.4769345320128,7552473.5,4338647.5,2,1
2678,73809,11,2052.167788651781,349.7916924465475,620093.5,1154485.5,1,1
2428,73697,24,11779.793213697296,623.9859393799161,1764.0,1527933.5,1,3
15087,78740,40,5107.47541085188,374.5223678074723,713492.0,1764.0,2,2
3717,74235,6,3070.2885580010584,1833.5985211177915,11598629.5,1713855.0,4,0
8161,75954,23,1213.3529526698617,132.07036959388765,1474150.0,38127.0,4,0
4850,74648,24,1325.7395344681383,42.46992262212276,421599.0,653909.0,1,2
7685,75825,23,5784.776272411953,8.323761139053232,564041.0,5904854.0,0,3
151,72795,24,358.23053659756664,239.07818296123517,1488190.5,3455586.5,0,1
9683,76655,24,825.3733044030129,62.481797821645024,2763952.0,14521523.0,4,1
2971,73931,49,2457.312825489651,32.16159674476775,1606363.5,1551240.0,0,0
1118,73150,23,12512.945966200172,16100.988693746494,16820282.0,19098968.0,3,0
13781,78179,24,4995.712527220019,108.30886995489166,1334332.5,19827150.0,0,0
2999,73954,2,2531.6976375256354,5906.60944856303,61755.5,1375405.0,0,5
2904,73924,26,11905.324459166339,623.9859393799161,1764.0,5381876.5,2,3
429,72872,9,872.2220348026285,134.84072381282303,164073.5,3737082.0,2,2
3486,74131,2,7945.855417330328,0.0,4236614.5,895608.5,2,0
5647,75023,24,1092.9133960870645,37.99113428750577,316128.0,1713855.0,2,0
10884,77071,24,12288.180476260526,418.6071431110242,421599.0,1764.0,0,3
4276,74424,1,1845.4328442198291,545.9619701968663,293130137.0,67031366.5,1,3
16263,79231,23,3258.7945026625976,513.2738822145398,25539953.5,15577990.0,0,0
5131,74782,21,10468.74613193163,623.9859393799161,1764.0,67031366.5,1,0
11522,77326,21,8000.496178644001,7888.1758114714,61755.5,1764.0,3,1
8203,75962,5,1946.958879869725,85.39915555009979,2258091.0,20950873.5,2,3
821,73013,24,1917.732368456238,728.2342076119542,16820282.0,8302037.0,3,0
2468,73711,24,15423.962233859507,623.9859393799161,1764.0,853416.5,1,0
5935,75163,24,2314.3743483844855,279.62837922043377,15577990.0,1334332.5,0,2
5045,74729,23,1475.2270714828057,33.96612150410076,1063223.5,20811.5,1,0
1111,73148,23,13240.8045878836,16100.988693746494,16820282.0,1375405.0,6,0
962,73060,24,15158.31220273433,130.16149547335345,3455586.5,1764.0,1,1
16340,79235,23,19379.30061439568,18212.87090773455,17031145.5,1474150.0,0,2
5416,74890,24,13336.742175028025,19550.620055157615,102172.0,19827150.0,0,1
16063,79131,14,3154.4081286476594,1498.282938459452,1787602.5,564041.0,0,0
13058,77886,8,4976.799930284286,4639.688110186578,31019153.0,5202198.0,0,0
9918,76717,24,2724.116939013666,34.415725716297885,4599255.0,35167955.5,1,0
3950,74337,23,4508.912338708043,1153.80422882899,239245.0,713492.0,4,2
2251,73602,24,19379.30061439568,19167.058573405637,3668634.0,1474150.0,0,2
5213,74816,23,7063.956418566333,337.4234529074574,11598629.5,673275.0,1,0
7159,75621,24,16326.160761306232,15854.75187842403,3737082.0,2516229.0,3,2
3794,74254,19,1247.4868054817482,3317.863518802309,7161013.5,1411273.0,3,3
4157,74376,48,2781.444242225011,6200.2206981587515,74380224.5,4338647.5,2,1
12330,77577,24,7743.7667148454175,199.22319024642977,12342031.5,895608.5,0,2
15558,78901,21,623.9859393799161,7888.1758114714,61755.5,1764.0,0,2
16617,79401,24,1298.676248361551,13336.742175028025,19827150.0,2895421.0,1,0
8684,76192,24,3350.006749118758,85.24365314314382,626174.0,3879103.5,0,0
16355,79236,24,13094.118443508538,263.09439213174926,67031366.5,2202262.0,3,3
3680,74218,24,15784.645893455081,18801.79523771388,3740160.5,1713855.0,2,0
11105,77153,6,3845.9661660182956,1616.2642295462858,1767571.5,3740160.5,1,2
7067,75590,24,3036.73279887549,33.66673602643507,1676892.0,338021.5,0,0
5124,74768,25,11027.318174425092,10381.902461516767,55203918.5,23900626.0,1,2
7802,75839,23,12197.09714840441,623.9859393799161,1764.0,2202262.0,0,1
6145,75219,49,18509.444557634964,623.9859393799161,1764.0,4338647.5,0,4
13604,78142,13,12350.943096302375,69.38859681988451,2202262.0,1764.0,0,0
1620,73277,7,2342.8351700986677,29.196566929576175,2159363.0,10468969.0,1,0
3035,73959,24,3569.500711102494,188.04571477941528,3740160.5,3737082.0,1,0
16644,79403,24,664.7435417421608,1585.6386681570343,3879103.5,4599255.0,0,3
15940,79111,24,17156.126936911987,623.9859393799161,1764.0,2763952.0,0,0
14426,78472,49,3813.919587582217,115.51703883740682,1551240.0,1678185.0,1,0
16310,79233,23,19290.682103239815,830.8683704437419,4156070.5,1764.0,1,2
8070,75936,8,19104.35669898249,16757.456613100247,89742.5,1764.0,0,4
10801,77041,23,12197.09714840441,623.9859393799161,1764.0,2202262.0,0,7
10939,77076,23,623.9859393799161,623.9859393799161,1764.0,1764.0,0,3
13688,78172,12,1978.2005984805987,11879.006300025352,1764.0,338021.5,2,3
5616,74995,24,336.2892406580571,38.46637648259383,656077.0,2866890.5,0,1
9282,76458,24,1871.0920655151886,1274.9947754712164,1411273.0,4516372.5,1,3
15401,78837,24,6355.303346412214,2232.8577566904955,74380224.5,5202198.0,1,0
14586,78508,23,5186.212136729479,366.3021263730419,1397363.0,669429.0,4,0
13276,78012,24,18519.900654851728,18708.619419587863,7552473.5,10468969.0,1,2
15790,79035,23,9688.578173162374,11878.19124771219,14689717.0,15577990.0,2,2
6646,75457,49,1653.7945721468022,287.68136578008244,2150468.5,3569803.0,2,0
16024,79117,2,623.9859393799161,623.9859393799161,1764.0,1764.0,0,4
10424,76944,23,623.9859393799161,12497.58103298037,4760.5,1764.0,0,4
3700,74231,6,1853.2075989184657,3014.3617222536973,31019153.0,11598629.5,0,1
2716,73823,5,8602.266279377633,753.5582188639654,43823828.5,1764.0,0,0
2344,73637,22,9807.645181330314,19490.556976353386,386603.0,2372271.5,1,3
2630,73793,26,623.9859393799161,12405.100697345564,338021.5,1764.0,2,0
8314,76014,12,1742.7256346666447,56.316097090854036,1527933.5,30538.5,2,0
16538,79313,24,15696.83929005364,15050.853831093787,5301009.5,360697.0,0,1
3066,73993,24,623.9859393799161,623.9859393799161,1764.0,1764.0,1,0
7240,75648,11,1169.2321628376144,2413.961769800001,1154485.5,3329034.0,3,2
816,73007,24,10037.637867851354,10381.902461516767,55203918.5,6141603.5,2,0
7191,75625,49,19379.30061439568,623.9859393799161,1764.0,1474150.0,2,3
15085,78740,40,4498.922495476532,2496.5024053479815,89742.5,49812.0,7,0
15623,78905,23,4274.394440025027,102.22782507513782,73020.0,1764.0,1,0
9561,76619,24,740.6724193529319,15.745104271585255,2007297.0,4338647.5,0,1
3124,74001,49,1744.896334982063,85.24365314314382,626174.0,1474150.0,0,1
15488,78870,24,11687.377466184525,2741.5393382203333,74380224.5,1216465.5,3,4
70,72778,38,3274.12976109303,2756.804441863963,19062.0,176661.5,2,3
2588,73763,49,902.5547261356212,179.1715699396128,3124858.5,4599255.0,0,3
10030,76766,37,3693.10363115445,3203.720213384871,3329034.0,620093.5,3,1
5934,75163,2,2040.424233375362,370.2993573842758,40024188.5,1488190.5,1,4
14910,78672,24,3026.2346890497984,266.5480753239043,918116.0,853416.5,2,1
1292,73196,23,1638.2437374134151,155.2280324880297,1678185.0,7552473.5,0,2
1082,73137,23,18801.79523771388,623.9859393799161,1764.0,3740160.5,1,2
8517,76118,23,4281.540113117641,264.993620088946,11598629.5,918116.0,1,2
13274,78012,24,17257.297704276825,11779.793213697296,1527933.5,24656196.0,2,2
16212,79200,24,2690.5484326425726,6818.855347597461,1787602.5,1496645.0,1,0
4038,74358,23,3622.1030698051272,4121.229545995836,1764.0,73020.0,0,4
10926,77076,23,7380.845974113274,0.0,1090655.0,43823828.5,4,0
14232,78388,8,1617.8478184704568,264.993620088946,11598629.5,3740160.5,1,1
1481,73248,23,2273.1089197347933,122.7310730824303,1061042.0,20950873.5,2,0
8628,76185,24,17156.126936911987,15696.83929005364,360697.0,2763952.0,4,0
3270,74064,24,16653.261724328666,16092.87044415466,30444730.5,14521523.0,0,1
14051,78312,24,11878.19124771219,9688.578173162374,15577990.0,14689717.0,0,1
9081,76349,23,15523.216572152149,17844.011981322717,11598629.5,5904854.0,0,2
9141,76365,11,1567.1941191645235,1145.6650429773385,5762058.0,843050.0,5,0
3336,74088,49,19550.620055157615,18708.619419587863,7552473.5,102172.0,4,0
8654,76188,23,2454.069707889936,38.46637648259383,656077.0,2045057.0,0,0
8609,76180,30,8021.566415393177,19406.354712223583,3569803.0,8929071.5,1,1
16224,79201,23,2057.503706325568,332.32975011856445,5874123.5,8929071.5,1,0
2039,73489,24,13575.460814999075,11477.978278385104,18504015.5,6011601.0,1,0
7735,75831,23,363.5237688204495,45.039312377086254,307088.5,349788.5,1,0
5766,75087,24,17831.07373742935,402.9003846536191,2045057.0,1764.0,0,0
13311,78024,22,6457.170707235997,8499.299026792694,27000921.0,3879103.5,4,0
14271,78394,8,2324.774196889898,264.993620088946,11598629.5,4156070.5,3,0
8951,76314,23,18625.768774074237,17594.48351885597,446770.0,2866890.5,4,1
15003,78676,23,1337.9965611645466,108.30886995489166,1334332.5,2202262.0,1,0
11499,77305,48,18751.829437765668,18291.962996664857,3879103.5,17027226.0,0,0
927,73037,1,15396.229559094207,16100.988693746494,16820282.0,7717590.5,5,0
2395,73665,40,2345.588868484185,1804.9154372704854,89742.5,50605.0,0,1
3818,74281,24,15872.2978875262,15050.853831093787,5301009.5,1606808.5,1,2
15974,79114,7,12441.749153799963,623.9859393799161,1764.0,653909.0,1,0
15139,78744,16,11878.19124771219,11779.793213697296,1527933.5,14689717.0,0,1
10682,77009,24,1101.872289995673,332.32975011856445,5874123.5,15577990.0,0,0
15882,79040,23,10381.902461516767,12405.100697345564,338021.5,55203918.5,0,1
13695,78174,12,393.1173292238109,11879.006300025352,1764.0,5381876.5,2,3
12013,77471,54,17156.126936911987,16653.261724328666,14521523.0,2763952.0,1,0
6949,75552,7,3560.660993805868,58.45956471759318,620093.5,24656196.0,0,0
14701,78541,23,14156.407633844025,623.9859393799161,1764.0,620093.5,3,0
2131,73518,24,19051.156631249316,10381.902461516767,55203918.5,2007297.0,1,2
13542,78139,49,19618.120175711076,623.9859393799161,1764.0,29289.5,5,0
8040,75919,23,17262.264981626755,18444.320347951867,1006387.0,3667972.5,1,2
6090,75215,49,1711.0340478789178,166.30811947884382,2866890.5,4599255.0,1,1
16052,79128,15,3661.6863551149554,16717.154026729226,2895421.0,3879103.5,0,4
13664,78145,7,3540.7272932872993,103.80614156243448,3740160.5,3737082.0,1,0
1702,73313,24,9708.045014630821,6672.468815512054,16820282.0,1764.0,1,0
11819,77416,24,9503.055962338594,558.9868345936713,23900626.0,5904854.0,3,0
2842,73888,29,5267.6949786772675,42.19086913341171,12304091.0,1090655.0,1,1
12092,77507,27,16653.261724328666,15696.83929005364,360697.0,14521523.0,1,1
3811,74274,24,1741.6774635101576,512.2190707764483,14689717.0,1968091.0,2,1
2974,73931,49,266.0622997522725,93.17144668493937,2254390.0,3124858.5,4,0
10190,76846,7,4304.623302840984,29.196566929576175,2159363.0,653909.0,4,0
15374,78836,23,2258.7599377867805,15.745104271585255,2007297.0,1551240.0,2,2
1186,73168,24,975.5320874941259,38.46637648259383,656077.0,2254390.0,1,1
336,72847,41,1334.0438485807547,1148.600609398832,50605.0,89742.5,6,0
11290,77273,24,426.8544925204341,75.53067221096912,3039297.5,27000921.0,5,3
4642,74542,24,1495.8204727060006,1385.404345103776,14521523.0,5301009.5,3,1
2920,73927,49,16730.3607772401,25.758518228037648,1411273.0,1764.0,1,0
9603,76642,24,141.94173883448104,0.0,1090655.0,360697.0,1,1
4877,74655,23,2678.6688700169016,81.2279192595655,5895685.0,673275.0,1,0
