7.445600000000000000e+04,1.772254257897556818e+04,1.850944455763496444e+04,4.338647500000000000e+06,3.516795550000000000e+07
7.475900000000000000e+04,1.177979321369729587e+04,1.053619267925894201e+04,2.591961500000000000e+06,1.527933500000000000e+06
7.741600000000000000e+04,1.053619267925894201e+04,6.239859393799160898e+02,1.764000000000000000e+03,2.591961500000000000e+06
7.284300000000000000e+04,2.148245945422180284e+03,1.995752609797482933e+02,1.713855000000000000e+06,3.737082000000000000e+06
7.497300000000000000e+04,5.087078810544157022e+03,1.439295636210798079e+02,2.465619600000000000e+07,3.737082000000000000e+06
7.714200000000000000e+04,3.766885806954908730e+03,6.653523440229334483e+03,6.020799500000000000e+06,4.156070500000000000e+06
7.839300000000000000e+04,2.794254674929205066e+03,1.529890369695552863e+02,4.482436000000000000e+06,2.822850000000000000e+04
7.867600000000000000e+04,3.656147861404180276e+03,1.331402444376946733e+03,1.745983115000000000e+08,1.606808500000000000e+06
7.715100000000000000e+04,1.108190984090667553e+04,1.083088699548916622e+02,1.334332500000000000e+06,1.764000000000000000e+03
7.338000000000000000e+04,9.884292064317355653e+02,2.220010365034560351e+01,1.452152300000000000e+07,3.606970000000000000e+05
7.715400000000000000e+04,2.799553884564378222e+03,1.897857822247273361e+03,5.202198000000000000e+06,2.516229000000000000e+06
7.861100000000000000e+04,5.495647707876242748e+03,4.357823111698779428e+01,1.562517500000000000e+06,1.159862950000000000e+07
7.757300000000000000e+04,6.239859393799160898e+02,1.961812017571107572e+04,2.928950000000000000e+04,1.764000000000000000e+03
7.817900000000000000e+04,3.223257271017079802e+03,8.524365314314381692e+01,6.261740000000000000e+05,2.763952000000000000e+06
7.395900000000000000e+04,3.237544920712231260e+02,1.663081194788438211e+02,2.866890500000000000e+06,1.606363500000000000e+06
7.912600000000000000e+04,6.239859393799160898e+02,1.177979321369729587e+04,1.527933500000000000e+06,1.764000000000000000e+03
7.814500000000000000e+04,1.354366312124667502e+03,2.129777978258886435e+02,5.202198000000000000e+06,2.745825500000000000e+06
7.437500000000000000e+04,4.882318185010480192e+03,3.474974448671777623e+02,2.516229000000000000e+06,3.611597500000000000e+06
7.631800000000000000e+04,1.102731817442509237e+04,9.807645181330313790e+03,2.372271500000000000e+06,2.390062600000000000e+07
7.847300000000000000e+04,3.459787705729262143e+03,9.810177054387527278e+02,1.745983115000000000e+08,3.044473050000000000e+07
7.639600000000000000e+04,5.531887589976897289e+03,0.000000000000000000e+00,4.236614500000000000e+06,1.488190500000000000e+06
7.481600000000000000e+04,7.063956418566333014e+03,3.374234529074573743e+02,1.159862950000000000e+07,6.732750000000000000e+05
7.472500000000000000e+04,1.957003541436290107e+03,4.029003846536190849e+02,2.045057000000000000e+06,1.637433700000000000e+07
7.631400000000000000e+04,6.239859393799160898e+02,1.821287090773454838e+04,1.703114550000000000e+07,1.764000000000000000e+03
7.315200000000000000e+04,1.539622955909420671e+04,1.702258928272405683e+04,1.411273000000000000e+06,7.717590500000000000e+06
7.781100000000000000e+04,2.368893004453450430e+03,8.477098858914710036e+02,4.156070500000000000e+06,1.767571500000000000e+06
7.436200000000000000e+04,1.632616076130623151e+04,1.528653701189175808e+04,1.126598000000000000e+06,2.516229000000000000e+06
