,round,date,city,home_team,away_team,group,result,country,city_ascii,lat,lng,pop,iso2,iso3,province,lat_home,lng_home,pop_home,lat_away,lng_away,pop_away,date_delta,date_int,geodesic,geodesic_home
17,2,2018-06-20 15:00:00,Moscow,Portugal,Morocco,Group B,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,39.310740779166665,-10.883485758666666,3879103.5,31.33667828153846,-8.520744902307692,11598629.5,79489 days 15:00:00.000000000,79489,4484.324906404038,3977.297787010243
18,2,2018-06-20 18:00:00,Moscow,Uruguay,Saudi Arabia,Group A,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-33.228574220312495,-56.03039721093751,1759166.0,24.74593022548388,43.45702112774193,16820282.0,79489 days 18:00:00.000000000,79489,3475.9477603480605,13201.584900163227
19,2,2018-06-20 21:00:00,Moscow,Iran,Spain,Group B,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,33.925422853809515,52.19256317634921,30444730.5,39.23129689204083,-4.263839702979591,17027226.0,79489 days 21:00:00.000000000,79489,3574.0162202778024,2672.8039890257314
20,2,2018-06-21 15:00:00,Moscow,Denmark,Australia,Group C,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,55.949968299999995,10.63131528525,1862032.5,-29.846669686964287,140.31188983080352,14863850.0,79490 days 15:00:00.000000000,79490,13468.420947946848,1679.4742368316865
21,2,2018-06-21 18:00:00,Moscow,France,Peru,Group C,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,38.551321932112664,-3.4562798112253503,16988693.5,-9.873479888977776,-75.74532577088888,15577990.0,79490 days 18:00:00.000000000,79490,12363.06288704585,3578.532492428154
22,2,2018-06-21 21:00:00,Moscow,Argentina,Croatia,Group D,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-63.94287022620255,25539953.5,44.622529102,16.227096394000004,1474150.0,79490 days 21:00:00.000000000,79490,1952.101954061885,13754.187658435188
23,2,2018-06-22 15:00:00,Moscow,Brazil,Costa Rica,Group E,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-15.465037315579073,-47.765149351530575,100038543.0,9.952510722461538,-84.16417425461539,1216465.5,79491 days 15:00:00.000000000,79491,10971.563445833912,11128.910836129055
24,2,2018-06-22 18:00:00,Moscow,Nigeria,Iceland,Group D,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,8.677092542838238,7.510492266794118,31019153.0,64.85618150333332,-19.763745377777777,176661.5,79491 days 18:00:00.000000000,79491,3201.8395957350344,5850.664406847329
25,2,2018-06-22 21:00:00,Moscow,Serbia,Switzerland,Group E,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,44.679683828571434,20.50679229857143,2007297.0,47.02733995214287,8.170100151142858,3039297.5,79491 days 21:00:00.000000000,79491,2245.0677528814244,1725.3089390033654
26,2,2018-06-23 15:00:00,Moscow,Belgium,Tunisia,Group G,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,50.691815335,4.5818122523,3569803.0,35.123635348076924,9.897465164038461,3740160.5,79492 days 15:00:00.000000000,79492,3115.018596998042,2253.5363481185973
27,2,2018-06-23 18:00:00,Moscow,Korea Republic,Mexico,Group F,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,22.496705073280435,-101.12578106915348,55203918.5,79492 days 18:00:00.000000000,79492,10501.698121430421,16055.247983019339
28,2,2018-06-23 21:00:00,Moscow,Germany,Sweden,Group F,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,51.11575163263159,9.878619886157892,27000921.0,59.713843178235294,15.930726573823522,3669364.5,79492 days 21:00:00.000000000,79492,1357.7787789300464,1899.9267158843859
29,2,2018-06-24 15:00:00,Moscow,England,Panama,Group G,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,8.602236642714285,-80.44621709785713,1334332.5,79493 days 15:00:00.000000000,79493,10899.948527049854,16055.247983019339
30,2,2018-06-24 18:00:00,Moscow,Japan,Senegal,Group H,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,36.52693533202897,137.07060038115938,67031366.5,14.207472609999998,-15.455380487272727,3737082.0,79493 days 18:00:00.000000000,79493,6443.392628655033,7280.467295794821
31,2,2018-06-24 21:00:00,Moscow,Poland,Colombia,Group H,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,52.260172900416656,19.079233544166666,10328576.5,5.907816061472221,-74.65676547930556,23900626.0,79493 days 21:00:00.000000000,79493,10826.663910216404,1271.476012672049
32,3,2018-06-25 17:00:00,Moscow,Uruguay,Russia,Group A,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-33.228574220312495,-56.03039721093751,1759166.0,56.64320249575131,73.97893770509498,74380224.5,79494 days 17:00:00.000000000,79494,2232.8577566904955,13201.584900163227
33,3,2018-06-25 17:00:00,Moscow,Saudi Arabia,Egypt,Group A,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,24.74593022548388,43.45702112774193,16820282.0,28.758547533333335,31.095179538571436,24656196.0,79494 days 17:00:00.000000000,79494,3043.22410789724,3475.9477603480605
34,3,2018-06-25 21:00:00,Moscow,Iran,Portugal,Group B,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,33.925422853809515,52.19256317634921,30444730.5,39.310740779166665,-10.883485758666666,3879103.5,79494 days 21:00:00.000000000,79494,3977.297787010243,2672.8039890257314
35,3,2018-06-25 21:00:00,Moscow,Spain,Morocco,Group B,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,39.23129689204083,-4.263839702979591,17027226.0,31.33667828153846,-8.520744902307692,11598629.5,79494 days 21:00:00.000000000,79494,4484.324906404038,3574.0162202778024
36,3,2018-06-26 17:00:00,Moscow,Denmark,France,Group C,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,55.949968299999995,10.63131528525,1862032.5,38.551321932112664,-3.4562798112253503,16988693.5,79495 days 17:00:00.000000000,79495,3578.532492428154,1679.4742368316865
37,3,2018-06-26 17:00:00,Moscow,Australia,Peru,Group C,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-29.846669686964287,140.31188983080352,14863850.0,-9.873479888977776,-75.74532577088888,15577990.0,79495 days 17:00:00.000000000,79495,12363.06288704585,13468.420947946848
38,3,2018-06-26 21:00:00,Moscow,Nigeria,Argentina,Group D,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,8.677092542838238,7.510492266794118,31019153.0,-34.0921981756329,-63.94287022620255,25539953.5,79495 days 21:00:00.000000000,79495,13754.187658435188,5850.664406847329
