Round Number,Date,Location,Home Team,Away Team,Group,Result
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,
1,16/06/2018 16:00,"Otkrytiye Arena, Moscow",Argentina,Iceland,Group D,
