country,lat,lng,pop
Afghanistan,34.649339053939386,67.11373556090912,6845750.5
Aland,60.09699618,19.94900447,10682.0
Albania,41.094174441153854,20.04595685,1606363.5
Algeria,33.03227545882353,3.4087815556470584,10468969.0
American Samoa,-14.2766105,-170.70664509999997,12038.0
Andorra,42.50000144,1.5164859609999999,38127.0
Angola,-11.704596417938776,16.37649016979592,6011601.0
Antarctica,-69.24775801875,12.053634203125004,2416.5
Antigua and Barbuda,17.11803652,-61.85003382,29862.5
Argentina,-34.0921981756329,-63.94287022620255,25539953.5
Armenia,40.379307736250006,44.671026982499995,1411273.0
Aruba,12.53038373,-70.02899195,50887.5
Australia,-29.846669686964287,140.31188983080352,14863850.0
Austria,47.704126137,14.0842018168,3124858.5
Azerbaijan,40.36243977764706,47.255832695294124,3082588.0
Bahrain,26.23613629,50.58305172,360697.0
Bangladesh,24.0728300275,89.97638362625,19098968.0
Barbados,13.10200258,-59.61652674,143865.0
Belarus,53.60468452133334,27.802185560000005,4516372.5
Belgium,50.691815335,4.5818122523,3569803.0
Belize,17.352222072857142,-88.57063525142857,131679.5
Benin,8.171145588777778,2.173520604,1713855.0
Bermuda,32.29419029,-64.78393742,32910.0
Bhutan,27.480721510000002,89.726428505,113930.5
Bolivia,-17.40980650855072,-65.17711568318842,5874123.5
Bosnia and Herzegovina,44.28862612,17.780506141666667,1383431.5
Botswana,-22.2998741075,24.533205964500002,673275.0
Brazil,-15.465037315579073,-47.765149351530575,100038543.0
Brunei,4.883331115,114.9332841,218250.0
Bulgaria,42.945715191111105,25.318696189444445,2866890.5
Burkina Faso,12.286408948437503,-1.7792241505312498,2159363.0
Burundi,-3.2970142285714283,29.880125814285716,620093.5
Cambodia,12.320901489999999,104.87440441578947,2258091.0
Cameroon,5.544532720354838,11.535447685387094,5904854.0
Canada,52.959239207686316,-91.4519241351373,19827150.0
Cape Verde,15.900229715000002,-24.258349045000003,164073.5
Cayman Islands,19.28043683,-81.32998173,2770.5
Central African Republic,5.802185767666667,19.859599548095236,1236792.5
Chad,12.529379146315788,17.62354382263158,1611846.0
Chile,-34.80091439904759,-71.64710565166668,8929071.5
China,35.389668289700005,114.002471625175,293130137.0
Colombia,5.907816061472221,-74.65676547930556,23900626.0
Comoros,-11.7041577,43.2402441,85785.0
Congo (Brazzaville),-1.8471444227647058,14.609857412941174,2245896.0
Congo (Kinshasa),-3.266993584306818,22.927383106022724,16481944.0
Cook Islands,-21.25003497,-159.7500013,2525.0
Costa Rica,9.952510722461538,-84.16417425461539,1216465.5
Croatia,44.622529102,16.227096394000004,1474150.0
Cuba,21.794139486538466,-79.22984059230768,5381876.5
Curacao,12.20042971,-69.01998377,146813.0
Cyprus,34.878752289999994,33.114602755,446770.0
Czech Republic,49.8170622575,15.696862376666665,2254390.0
Denmark,55.949968299999995,10.63131528525,1862032.5
Djibouti,11.522398264,42.883618889999994,843050.0
Dominica,15.30101564,-61.38701298,19953.5
Dominican Republic,18.925297736129032,-70.3934131683871,4431441.0
East Timor,-8.559388409,125.57945590000001,213947.0
Ecuador,-1.3447138266216212,-80.01074331162162,6141603.5
Egypt,28.758547533333335,31.095179538571436,24656196.0
El Salvador,13.692620398571426,-88.89231613785714,1676892.0
Equatorial Guinea,2.2116833585,9.734185863166667,316128.0
Eritrea,15.025609788571428,38.98911930857143,1154485.5
Estonia,58.896730232857145,25.789502815714282,626174.0
Ethiopia,8.906432579882352,38.68286121852941,5762058.0
Falkland Islands,-51.825300479999996,-58.96846552,2303.0
Faroe Islands,62.133751059999994,-6.6795225505,19062.0
Federated States of Micronesia,6.916643696,158.1499743,4645.0
Fiji,-17.4913238325,178.177059375,239245.0
Finland,62.738294937619024,25.58525066666667,2150468.5
France,38.551321932112664,-3.4562798112253503,16988693.5
French Polynesia,-17.53336261,-149.56666940000002,78856.0
Gabon,-0.6449778042000001,11.398897654349998,918116.0
Georgia,42.07907844571429,42.981064644285716,1678185.0
Germany,51.11575163263159,9.878619886157892,27000921.0
Ghana,7.308699170235294,-1.0013789554117647,5202198.0
Gibraltar,36.13243495,-5.37807483,106813.5
Greece,38.617972865666665,23.749089735,4338647.5
Greenland,69.3899468281818,-49.02054839863636,38197.5
Grenada,12.0526334,-61.74164323,30538.5
Guam,13.4700163,144.75001699999999,61755.5
Guatemala,15.032705654615386,-90.465170695,2591961.5
Guinea,10.256614987758622,-11.559442368379312,2745825.5
Guinea Bissau,11.9558330075,-15.21685986875,473896.0
Guyana,5.95432259,-58.44770660600001,349788.5
Haiti,19.06225644,-72.70172510444442,2202262.0
Honduras,14.786617175263158,-87.16362468894738,1968091.0
Hong Kong S.A.R.,22.304980899999997,114.18500929999999,5878789.5
Hungary,47.214274644000014,19.213429887499995,3668634.0
Iceland,64.85618150333332,-19.763745377777777,176661.5
India,21.68007416176887,79.27442390419809,174598311.5
Indonesia,-3.7304466304095225,113.17246006104762,43823828.5
Iran,33.925422853809515,52.19256317634921,30444730.5
Iraq,33.49008048444445,44.549945631851855,14521523.0
Ireland,53.17484158066667,-7.959507496333334,1551240.0
Isle of Man,54.15042727,-4.4800214039999995,31036.0
Israel,32.09158525,34.991480415000005,3667972.5
Italy,42.36766441678572,12.728868306178569,16374337.0
Ivory Coast,6.793603665759999,-5.462792392040001,6020799.5
Jamaica,18.17408823142857,-77.25792496928571,1527933.5
Japan,36.52693533202897,137.07060038115938,67031366.5
Jordan,31.403326518888882,35.773583878888886,2763952.0
Kazakhstan,48.332626517604155,68.39429441479166,7161013.5
Kenya,-0.6082064265,37.1042776175,5895685.0
Kiribati,1.338187506,173.01757080000002,25668.0
Kosovo,42.51878582333333,20.742271956666666,582756.0
Kuwait,29.2793684975,47.9300334375,1488700.0
Kyrgyzstan,41.92775878,74.54295873857141,1698009.5
Laos,18.160072734285713,103.74151152857142,1061042.0
Latvia,56.64709227,24.03499087,1063223.5
Lebanon,33.82028840666667,35.60599061166667,2444434.5
Lesotho,-29.471914865000002,27.8832856275,421599.0
Liberia,6.189173961153846,-9.517716177846152,1126598.0
Libya,30.127182756000003,16.669913599485717,4156070.5
Liechtenstein,47.13372377,9.516669473,20811.5
Lithuania,55.406567648,23.602331664,1334333.5
Luxembourg,49.731653179999995,6.210001645333333,102172.0
Macau S.A.R,22.20299746,113.54504840000001,568700.0
Macedonia,41.682764506666665,21.24768469333333,656077.0
Madagascar,-18.730990132500004,46.91958070214286,2930227.0
Malawi,-13.984877478200001,34.509488136499996,1787602.5
Malaysia,3.9693900483125004,105.10843806562498,12342031.5
Maldives,4.16670819,73.49994747,108310.0
Mali,14.846409457333339,-5.703038914766667,2516229.0
Malta,35.89973248,14.51471065,187608.0
Marshall Islands,7.103004311,171.38000019999998,22950.0
Mauritania,18.7943707045,-12.58803988755,1397363.0
Mauritius,-20.24141437,57.50831376,564041.0
Mexico,22.496705073280435,-101.12578106915348,55203918.5
Moldova,46.957628308000004,28.751658406,1006387.0
Monaco,43.73964569,7.4069131729999995,36371.0
Mongolia,47.60667942208334,103.31286422916664,1375405.0
Montenegro,42.46597251,19.26630692,141161.5
Morocco,31.33667828153846,-8.520744902307692,11598629.5
Mozambique,-18.670145265588236,35.67728331029412,4482436.0
Myanmar,18.916929732432436,95.96056940270269,9139989.5
Namibia,-21.939230925555552,17.07477324074074,653909.0
Nepal,27.783045604705883,84.22693144352942,2127321.0
Netherlands,52.16298845428571,5.318117178357143,4599255.0
New Caledonia,-22.26252776,166.4442852,89742.5
New Zealand,-40.66653998333333,173.9069139727273,2895421.0
Nicaragua,12.347147358421054,-85.6974840368421,1963927.5
Niger,14.740339273124999,6.7065018556250005,1767571.5
Nigeria,8.677092542838238,7.510492266794118,31019153.0
North Korea,39.87718453535714,126.89101159285714,8346142.0
Northern Cyprus,35.225512175000006,33.64150687,59717.5
Northern Mariana Islands,15.21125368,145.7505761,1764.0
Norway,63.431659906764736,12.533976847088237,2045057.0
Oman,21.833724045999997,57.275667607,1488190.5
Pakistan,30.88725971536585,71.04719997317076,40024188.5
Palau,7.416311264,134.5480247,18226.0
Palestine,31.798754595,35.0003069925,895608.5
Panama,8.602236642714285,-80.44621709785713,1334332.5
Papua New Guinea,-6.136407242434783,147.81904887826084,713492.0
Paraguay,-24.364596637297304,-57.34438551972973,2372271.5
Peru,-9.873479888977776,-75.74532577088888,15577990.0
Philippines,11.817977024421053,122.77502122105265,20950873.5
Poland,52.260172900416656,19.079233544166666,10328576.5
Portugal,39.310740779166665,-10.883485758666666,3879103.5
Puerto Rico,18.270485555,-66.65408166750001,1837905.0
Qatar,25.28655601,51.53296789,1090655.0
Romania,45.75791885170733,25.1676678497561,7552473.5
Russia,56.64320249575131,73.97893770509498,74380224.5
Rwanda,-2.0823489824545454,29.690316272727273,1562517.5
Saint Kitts and Nevis,17.30203046,-62.71700932,18693.5
Saint Lucia,14.00197349,-61.00000818,24298.5
Saint Vincent and the Grenadines,13.14827883,-61.21206242,37001.5
Samoa,-13.84154504,-171.7386416,49812.0
San Marino,43.91715008,12.46667029,29289.5
Sao Tome and Principe,0.989202085,7.072664818,73348.5
Saudi Arabia,24.74593022548388,43.45702112774193,16820282.0
Senegal,14.207472609999998,-15.455380487272727,3737082.0
Serbia,44.679683828571434,20.50679229857143,2007297.0
Seychelles,-4.616631654,55.44998979,28228.5
Sierra Leone,8.3282681262,-11.8128348,853416.5
Singapore,1.293033466,103.85582070000001,4236614.5
Slovakia,48.683378171428565,19.176995284285713,961181.5
Slovenia,46.29788332,15.08250545,386603.0
Solomon Islands,-9.425211935,160.88050560000002,73020.0
Somalia,4.90652559788,45.786002426799996,1871353.0
Somaliland,9.921865415857143,45.649899782857155,966549.5
South Africa,-29.420466787916673,25.90580820027778,18504015.5
South Georgia and the Islands,-54.28057697,-36.50798893,99.0
South Korea,36.41013471821429,127.687468825,32063779.0
South Sudan,6.839327760733332,30.486577920666665,669429.0
Spain,39.23129689204083,-4.263839702979591,17027226.0
Sri Lanka,7.52088961307143,80.43741144571429,1475517.5
Sudan,15.286780510333335,31.82293238599999,9614972.0
Suriname,5.452326902299999,-55.306126599,307088.5
Svalbard and Jan Mayen Islands,78.21668439,15.549996300000002,1232.0
Swaziland,-26.570070972857142,31.462434121428572,219229.5
Sweden,59.713843178235294,15.930726573823522,3669364.5
Switzerland,47.02733995214287,8.170100151142858,3039297.5
Syria,34.987765792380955,37.653673960000006,8302037.0
